Math_Score,Reading_Score,Writing_Score,Placement_Score, Club_Join_Date .
74,75,80,89,2020
75,77,74,84,2018
77,78,78,,2019
68,79,66,81,2020
80,83,77,85,2021
61,84,64,76,2021
73,74,74,79,2019
68,,80,87,2020
63,78,78,75,2018
63,79,79,86,2019
,74,74,88,2019
71,75,75,88,2021
65,76,60,89,2020
75,77,,81,2019
64,81,68,80,
77,82,68,81,2020
78,83,70,89,2018
79,84,74,86,2021
63,80,76,80,2019
73,80,78,85,2019
,,79,83,2019
70,80,80,82,2018
74,76,79,80,2021
63,78,74,80,2021
69,76,75,86,2020
68,79,60,75,2020
72,,64,82,2019
65,80,68,79,2018
69,78,68,80,2020
79,74,74,86,2021
